﻿Stock Level Summary Report
Merchant ID,H8391001
Merchant Name,THANN
Date,2026/08/05
,,,,,,,,,,,,,,,Packing Dimension
Merchant ID,Merchant Product ID,Primary SKU,Merchant SKU ID,SKU Name,SKU Name (Chi),Warehouse ID,StockLevel,Online Status,Invisible,Force Out Of Stock,Create Date,Offline Date,Brand Name (EN),Brand Name (CHI),Height,Width,Depth,Packing Spec(EN),Packing Spec(CHI),Primary Category Code,Primary Category Name (CHI),Currency,Original Price,Discount Price,Discount Rate(%),VIP Discount Price,VIP Discount Rate(%),GOLD VIP Discount Price,GOLD VIP Discount Rate(%),DIAMOND VIP Discount Price,DIAMOND VIP Discount Rate(%),
H8391001,2021xmax_A1,Y,H8391001_S_2021xmax_A1,Christmas Set - Delightful Scent (A1),聖誕套裝 - Delightful Scent (A1),H839100101,0,offline,N,N,20-Oct-2021,12-Apr-2024,THANN,THANN,200,200,200,,,AA13506010001,女士香水,HKD,510.0,434.0,14.90196, , , , , , ,
H8391001,2021xmax_A2,Y,H8391001_S_2021xmax_A2,Christmas Set - Delightful Scent (A2),聖誕套裝 - Delightful Scent (A2),H839100101,0,offline,N,N,13-Dec-2021,12-Apr-2024,THANN,THANN,50,50,50,,,AA13506010001,女士香水,HKD,510.0,434.0,14.90196, , , , , , ,
H8391001,2021xmax_B1,Y,H8391001_S_2021xmax_B1,Christmas Set - Car Aroma Special (B1) (With Christmas Gift Box),聖誕套裝 - Car Aroma Special (B1) (連聖誕禮盒),H839100101,0,offline,N,N,20-Oct-2021,12-Apr-2024,THANN,THANN,165,60,60,,,AA18554010001,香薰油,HKD,870.0,740.0,14.94253, , , , , , ,
H8391001,2021xmax_B2,Y,H8391001_S_2021xmax_B2,Christmas Set - Car Aroma Special (B2) (With Christmas Gift Box),聖誕套裝 - Car Aroma Special (B2) (連聖誕禮盒),H839100101,0,offline,N,N,20-Oct-2021,12-Apr-2024,THANN,THANN,165,60,60,,,AA18554010001,香薰油,HKD,870.0,740.0,14.94253, , , , , , ,
H8391001,2021xmax_E1,Y,H8391001_S_2021xmax_E1,Christmas Set - Invigorating Spirit (E1),聖誕套裝 - Invigorating Spirit (E1),H839100101,0,offline,N,N,20-Oct-2021,12-Apr-2024,THANN,THANN,165,60,60,,,AA18554010001,香薰油,HKD,840.0,714.0,15.0, , , , , , ,
H8391001,2021xmax_E2,Y,H8391001_S_2021xmax_E2,Christmas Set - Invigorating Spirit (E2),聖誕套裝 - Invigorating Spirit (E2),H839100101,0,offline,N,N,20-Oct-2021,12-Apr-2024,THANN,THANN,165,60,60,,,AA18554010001,香薰油,HKD,840.0,714.0,15.0, , , , , , ,
H8391001,2021xmax_F1,Y,H8391001_S_2021xmax_F1,Christmas Set - Hand Pampering (F1) (With Christmas Gift Box),聖誕套裝 - Hand Pampering (F1) (連聖誕禮盒),H839100101,0,offline,N,N,20-Oct-2021,12-Apr-2024,THANN,THANN,165,60,60,,,AA11854520001,護手霜,HKD,390.0,332.0,14.87179, , , , , , ,
H8391001,2021xmax_F2,Y,H8391001_S_2021xmax_F2,Christmas Set - Hand Pampering (F2) (With Christmas Gift Box),聖誕套裝 - Hand Pampering (F2) (連聖誕禮盒),H839100101,0,offline,N,N,20-Oct-2021,12-Apr-2024,THANN,THANN,165,60,60,,,AA11854520001,護手霜,HKD,390.0,332.0,14.87179, , , , , , ,
H8391001,2021xmax_F3,Y,H8391001_S_2021xmax_F3,Christmas Set - Hand Pampering (F3) (With Christmas Gift Box),聖誕套裝 - Hand Pampering (F3) (連聖誕禮盒),H839100101,0,offline,N,N,16-Dec-2021,12-Apr-2024,THANN,THANN,70,70,70,,,AA11854520001,護手霜,HKD,410.0,349.0,14.87805, , , , , , ,
H8391001,2021xmax_G1,Y,H8391001_S_2021xmax_G1,Christmas Set - Body Care Ritual (G1) (With Christmas Gift Box),聖誕套裝 - Body Care Ritual (G1) (連聖誕禮盒),H839100101,0,offline,N,N,20-Oct-2021,12-Apr-2024,THANN,THANN,165,60,60,,,AA13200510001,沐浴露,HKD,570.0,485.0,14.91228, , , , , , ,
H8391001,2021xmax_G2,Y,H8391001_S_2021xmax_G2,Christmas Set - Body Care Ritual (G2) (With Christmas Gift Box),聖誕套裝 - Body Care Ritual (G2) (連聖誕禮盒),H839100101,0,offline,N,N,20-Oct-2021,12-Apr-2024,THANN,THANN,165,60,60,,,AA13200510001,沐浴露,HKD,570.0,485.0,14.91228, , , , , , ,
H8391001,2021xmax_G3,Y,H8391001_S_2021xmax_G3,Christmas Set - Body Care Ritual (G3) (With Christmas Gift Box),聖誕套裝 - Body Care Ritual (G3) (連聖誕禮盒),H839100101,0,offline,N,N,16-Dec-2021,12-Apr-2024,THANN,THANN,60,60,60,,,AA13200510001,沐浴露,HKD,540.0,459.0,15.0, , , , , , ,
H8391001,2021xmax_G4,Y,H8391001_S_2021xmax_G4,Christmas Set - Body Care Ritual (G4) (With Christmas Gift Box),聖誕套裝 - Body Care Ritual (G4) (連聖誕禮盒),H839100101,0,offline,N,N,16-Dec-2021,12-Apr-2024,THANN,THANN,70,70,70,,,AA13200510001,沐浴露,HKD,540.0,459.0,15.0, , , , , , ,
H8391001,2021xmax_H1,Y,H8391001_S_2021xmax_H1,Christmas Set - Hand Therapy (H1) (With Christmas Gift Box),聖誕套裝 - Hand Therapy (H1) (連聖誕禮盒),H839100101,0,offline,N,N,20-Oct-2021,12-Apr-2024,THANN,THANN,165,60,60,,,AA13200510001,沐浴露,HKD,645.0,549.0,14.88372, , , , , , ,
H8391001,2021xmax_H2,Y,H8391001_S_2021xmax_H2,Christmas Set - Hand Therapy (H2) (With Christmas Gift Box),聖誕套裝 - Hand Therapy (H2) (連聖誕禮盒),H839100101,0,offline,N,N,20-Oct-2021,12-Apr-2024,THANN,THANN,165,60,60,,,AA13200510001,沐浴露,HKD,645.0,549.0,14.88372, , , , , , ,
H8391001,2021xmax_I1,Y,H8391001_S_2021xmax_I1,Christmas Set - Body Perfection (I1) (With Christmas Gift Box),聖誕套裝 - Body Perfection (I1) (連聖誕禮盒),H839100101,0,offline,N,N,20-Oct-2021,12-Apr-2024,THANN,THANN,165,60,60,,,AA13200510001,沐浴露,HKD,690.0,587.0,14.92754, , , , , , ,
H8391001,2021xmax_I2,Y,H8391001_S_2021xmax_I2,Christmas Set - Body Perfection (I2) (With Christmas Gift Box),聖誕套裝 - Body Perfection (I2) (連聖誕禮盒),H839100101,0,offline,N,N,20-Oct-2021,12-Apr-2024,THANN,THANN,165,60,60,,,AA13200510001,沐浴露,HKD,690.0,587.0,14.92754, , , , , , ,
H8391001,2021xmax_I3,Y,H8391001_S_2021xmax_I3,Christmas Set - Body Perfection (I3) (With Christmas Gift Box),聖誕套裝 - Body Perfection (I3) (連聖誕禮盒),H839100101,0,offline,N,N,13-Dec-2021,12-Apr-2024,THANN,THANN,50,50,50,,,AA13200510001,沐浴露,HKD,690.0,587.0,14.92754, , , , , , ,
H8391001,2021xmax_I4,Y,H8391001_S_2021xmax_I4,Christmas Set - Body Perfection (I4) (With Christmas Gift Box),聖誕套裝 - Body Perfection (I4) (連聖誕禮盒),H839100101,0,offline,N,N,13-Dec-2021,12-Apr-2024,THANN,THANN,50,50,50,,,AA13200510001,沐浴露,HKD,690.0,587.0,14.92754, , , , , , ,
H8391001,2021xmax_J1,Y,H8391001_S_2021xmax_J1,Christmas Set - Untimate Hair Care (J1) (With Christmas Gift Box),聖誕套裝 - Untimate Hair Care (J1) (連聖誕禮盒),H839100101,0,offline,N,N,20-Oct-2021,12-Apr-2024,THANN,THANN,165,60,60,,,AA13201010001,洗髮水,HKD,828.0,704.0,14.97585, , , , , , ,
H8391001,2021xmax_J2,Y,H8391001_S_2021xmax_J2,Christmas Set - Untimate Hair Care (J2) (With Christmas Gift Box),聖誕套裝 - Untimate Hair Care (J2) (連聖誕禮盒),H839100101,0,offline,N,N,20-Oct-2021,12-Apr-2024,THANN,THANN,165,60,60,,,AA13201010001,洗髮水,HKD,828.0,704.0,14.97585, , , , , , ,
H8391001,2021xmax_K1,Y,H8391001_S_2021xmax_K1,Christmas Set - SPA At Home Time (K1) (With Christmas Gift Box),聖誕套裝 - SPA At Home Time (K1) (連聖誕禮盒),H839100101,0,offline,N,N,20-Oct-2021,12-Apr-2024,THANN,THANN,165,60,60,,,AA13104510001,按摩油,HKD,868.0,738.0,14.97696, , , , , , ,
H8391001,2021xmax_K2,Y,H8391001_S_2021xmax_K2,Christmas Set - SPA At Home Time (K2) (With Christmas Gift Box),聖誕套裝 - SPA At Home Time (K2) (連聖誕禮盒),H839100101,0,offline,N,N,20-Oct-2021,12-Apr-2024,THANN,THANN,165,60,60,,,AA13104510001,按摩油,HKD,868.0,738.0,14.97696, , , , , , ,
H8391001,2021xmax_L1,Y,H8391001_S_2021xmax_L1,Christmas Set - Beautifully Protected (L1) (With Christmas Gift Box),聖誕套裝 - Beautifully Protected (L1) (連聖誕禮盒),H839100101,0,offline,N,N,20-Oct-2021,12-Apr-2024,THANN,THANN,165,60,60,,,AA11853510401,磨砂/去角質用品,HKD,780.0,663.0,15.0, , , , , , ,
H8391001,2021xmax_M1,Y,H8391001_S_2021xmax_M1,Christmas Set - Revitalizing Facial Care (M1) (With Christmas Gift Box),聖誕套裝 - Revitalizing Facial Care (M1) (連聖誕禮盒),H839100101,0,offline,N,N,20-Oct-2021,12-Apr-2024,THANN,THANN,165,60,60,,,AA13201860201,日霜,HKD,960.0,816.0,15.0, , , , , , ,
H8391001,2021xmax_O1,Y,H8391001_S_2021xmax_O1,Christmas Set - Volcano Diffuser Set (O1),聖誕套裝 - Volcano Diffuser Set (O1),H839100101,0,offline,N,N,20-Oct-2021,12-Apr-2024,THANN,THANN,800,800,60,,,AA32381010001,香薰機,HKD,2220.0,1887.0,15.0, , , , , , ,
H8391001,2021xmax_O2,Y,H8391001_S_2021xmax_O2,Christmas Set - Volcano Diffuser Set (O2),聖誕套裝 - Volcano Diffuser Set (O2),H839100101,0,offline,N,N,20-Oct-2021,12-Apr-2024,THANN,THANN,800,800,60,,,AA32381010001,香薰機,HKD,2220.0,1887.0,15.0, , , , , , ,
H8391001,2021xmax_P1,Y,H8391001_S_2021xmax_P1,Christmas Set - Blissful Scent (P1),聖誕套裝 - Blissful Scent (P1),H839100101,0,offline,N,N,20-Oct-2021,12-Apr-2024,THANN,THANN,800,800,60,,,AA32381010001,香薰機,HKD,2700.0,2295.0,15.0, , , , , , ,
H8391001,2021xmax_P2,Y,H8391001_S_2021xmax_P2,Christmas Set - Blissful Scent (P2),聖誕套裝 - Blissful Scent (P2),H839100101,0,offline,N,N,20-Oct-2021,12-Apr-2024,THANN,THANN,800,800,60,,,AA32381010001,香薰機,HKD,2700.0,2295.0,15.0, , , , , , ,
H8391001,2021xmax_Q1,Y,H8391001_S_2021xmax_Q1,Christmas Set - Hand Therapy (Q1) (With Christmas Gift Box),THANN - 聖誕套裝 - Hand Therapy (Q1) (連聖誕禮盒),H839100101,0,offline,N,N,09-Dec-2021,12-Apr-2024,THANN,THANN,100,100,100,,,AA11854510001,潔手液,HKD,570.0,485.0,14.91228, , , , , , ,
H8391001,2021xmax_Q2,Y,H8391001_S_2021xmax_Q2,Christmas Set - Hand Therapy (Q2) (With Christmas Gift Box),聖誕套裝 - Hand Therapy (Q2) (連聖誕禮盒),H839100101,0,offline,N,N,09-Dec-2021,12-Apr-2024,THANN,THANN,100,100,100,,,AA13202510001,潔手液,HKD,570.0,485.0,14.91228, , , , , , ,
H8391001,2021xmax_R1,Y,H8391001_S_2021xmax_R1,Christmas Set - Untimate Hair Care - Aromatic Wood (R1) (With Christmas Gift Box),聖誕套裝 - Untimate Hair Care - 天然香木 (R1)(連聖誕禮盒),H839100101,0,offline,N,N,13-Dec-2021,12-Apr-2024,THANN,THANN,50,50,50,,,AA11852005001,洗髮水,HKD,660.0,561.0,15.0, , , , , , ,
H8391001,2021xmax_R2,Y,H8391001_S_2021xmax_R2,Christmas Set - Untimate Hair Care - Oriental Essence (R2) (With Christmas Gift Box),聖誕套裝 - Untimate Hair Care - 天然東方 (R2) (連聖誕禮盒),H839100101,0,offline,N,N,13-Dec-2021,12-Apr-2024,THANN,THANN,50,50,50,,,AA11852005001,洗髮水,HKD,660.0,561.0,15.0, , , , , , ,
H8391001,202206VSA1,Y,H8391001_S_202206VSA1,2022.07 Value Set - Summer Cleansing Essentials (A1),2022.07套裝 - Summer Cleansing Essentials (A1),H839100101,0,offline,Y,N,27-Jun-2022,20-Jul-2022,THANN,THANN,200,100,60,,,AA13200550001,潤膚露,HKD,530.0, , , , , , , , ,
H8391001,202206VSA2,Y,H8391001_S_202206VSA2,2022.07 Value Set - Summer Cleansing Essentials (A2),2022.07套裝 - Summer Cleansing Essentials (A2),H839100101,0,offline,Y,N,27-Jun-2022,20-Jul-2022,THANN,THANN,200,100,80,,,AA13200550001,潤膚露,HKD,530.0, , , , , , , , ,
H8391001,202207VSA1,Y,H8391001_S_202207VSA1,Special Set - Summer Cleansing Essentials (A),Special Set - Summer Cleansing Essentials (A),H839100101,0,offline,N,Y,28-Jun-2022,12-Apr-2024,THANN,THANN,200,100,100,,,AA13200550001,潤膚露,HKD,530.0,382.0,27.92453, , , , , , ,
H8391001,202207VSA2,Y,H8391001_S_202207VSA2,2022.07 Value Set - Summer Cleansing Essentials (A2),2022.07 套裝 - Summer Cleansing Essentials (A2),H839100101,0,offline,N,N,28-Jun-2022,12-Apr-2024,THANN,THANN,200,100,100,,,AA13200550001,潤膚露,HKD,530.0,339.0,36.03774, , , , , , ,
H8391001,202207VSB1,Y,H8391001_S_202207VSB1,2022.07 Value Set - Hands Perfection (B1),2022.07 套裝 - Hands Perfection (B1),H839100101,0,offline,N,N,28-Jun-2022,12-Apr-2024,THANN,THANN,200,130,100,,,AA13200510001,沐浴露,HKD,590.0,389.0,34.0678, , , , , , ,
H8391001,202207VSB2,Y,H8391001_S_202207VSB2,2022.07 Value Set - Hands Perfection (B2),2022.07 套裝 - Hands Perfection (B2),H839100101,0,offline,N,N,28-Jun-2022,12-Apr-2024,THANN,THANN,200,130,100,,,AA13200510001,沐浴露,HKD,590.0,389.0,34.0678, , , , , , ,
H8391001,202207VSC1,Y,H8391001_S_202207VSC1,Special Set - Summer Romance (B),Special Set - Summer Romance (B),H839100101,0,offline,N,Y,28-Jun-2022,12-Apr-2024,THANN,THANN,250,100,70,,,AA13205500001,禮盒/旅行套裝,HKD,840.0,605.0,27.97619, , , , , , ,
H8391001,202207VSC2,Y,H8391001_S_202207VSC2,2022.07 Value Set - Summer Romance (C2),2022.07 套裝 - Summer Romance (C2),H839100101,0,offline,N,N,28-Jun-2022,12-Apr-2024,THANN,THANN,250,100,70,,,AA13205500001,禮盒/旅行套裝,HKD,840.0,539.0,35.83333, , , , , , ,
H8391001,202207VSD1,Y,H8391001_S_202207VSD1,2022.07 Value Set - Deluxe Journey (D1),2022.07 套裝 - Deluxe Journey (D1),H839100101,0,offline,N,N,28-Jun-2022,12-Apr-2024,THANN,THANN,120,300,60,,,AA13205500001,禮盒/旅行套裝,HKD,1000.0,599.0,40.1, , , , , , ,
H8391001,202207VSD2,Y,H8391001_S_202207VSD2,Special Set - Deluxe Journey (C),Special Set - Deluxe Journey (C),H839100101,0,offline,N,Y,29-Jun-2022,12-Apr-2024,THANN,THANN,200,150,80,,,AA13205500001,禮盒/旅行套裝,HKD,1000.0,720.0,28.0, , , , , , ,
H8391001,202207VSE1,Y,H8391001_S_202207VSE1,Special Set - Summer Breeze (D),Special Set - Summer Breeze (D),H839100101,0,offline,N,Y,29-Jun-2022,12-Apr-2024,THANN,THANN,200,150,80,,,AA13205500001,禮盒/旅行套裝,HKD,980.0,706.0,27.95918, , , , , , ,
H8391001,202207VSE2,Y,H8391001_S_202207VSE2,2022.07 Value Set - Summer Breeze (E2),2022.07 套裝 - Summer Breeze (E2),H839100101,0,offline,N,N,29-Jun-2022,12-Apr-2024,THANN,THANN,200,150,80,,,AA13205500001,禮盒/旅行套裝,HKD,980.0,639.0,34.79592, , , , , , ,
H8391001,202207VSED1,Y,H8391001_S_202207VSED1,2022.07 Value Set - Summer Breeze (D1),2022.07 套裝 - Summer Breeze (D1),H839100101,0,offline,Y,N,29-Jun-2022,12-Apr-2024,THANN,THANN,200,150,80,,,AA13205500001,禮盒/旅行套裝,HKD,980.0,639.0,34.79592, , , , , , ,
H8391001,202207VSF1,Y,H8391001_S_202207VSF1,2022.07 Value set - Signature Scent (F1),2022.07 套裝 - Signature Scent (F1),H839100101,0,offline,N,N,29-Jun-2022,12-Apr-2024,THANN,THANN,200,150,80,,,AA13205500001,禮盒/旅行套裝,HKD,2410.0,1499.0,37.80083, , , , , , ,
H8391001,202207VSF2,Y,H8391001_S_202207VSF2,2022.07 Value set - Signature Scent (F2),2022.07 套裝 - Signature Scent (F2),H839100101,0,offline,N,N,29-Jun-2022,12-Apr-2024,THANN,THANN,200,150,80,,,AA13205500001,禮盒/旅行套裝,HKD,2410.0,1499.0,37.80083, , , , , , ,
H8391001,2022AUGVSA1,Y,H8391001_S_2022AUGVSA1,2022.08 Value Set - Summer Breeze (A1),2022.08 套裝 - Summer Breeze (A1),H839100101,0,offline,N,N,29-Jul-2022,12-Apr-2024,THANN,THANN,200,130,100,,,AA13205500001,禮盒/旅行套裝,HKD,560.0,339.0,39.46429, , , , , , ,
H8391001,2022AUGVSA2,Y,H8391001_S_2022AUGVSA2,2022.08 Value Set - Summer Breeze (A2),2022.08 套裝 - Summer Breeze (A2),H839100101,0,offline,N,N,29-Jul-2022,12-Apr-2024,THANN,THANN,200,130,100,,,AA13205500001,禮盒/旅行套裝,HKD,560.0,339.0,39.46429, , , , , , ,
H8391001,2022AUGVSB1,Y,H8391001_S_2022AUGVSB1,2022.08 Value Set - Hands Perfection (B1),2022.08 套裝 - Hands Perfection (B1),H839100101,0,offline,N,N,29-Jul-2022,12-Apr-2024,THANN,THANN,200,130,100,,,AA13205500001,禮盒/旅行套裝,HKD,570.0,369.0,35.26316, , , , , , ,
H8391001,2022AUGVSB2,Y,H8391001_S_2022AUGVSB2,2022.08 Value Set - Hands Perfection (B2),2022.08 套裝 - Hands Perfection (B2),H839100101,0,offline,N,N,29-Jul-2022,12-Apr-2024,THANN,THANN,200,130,100,,,AA13205500001,禮盒/旅行套裝,HKD,570.0,369.0,35.26316, , , , , , ,
H8391001,2022AUGVSC1,Y,H8391001_S_2022AUGVSC1,2022.08 Value Set - Ultimate Body Care (C1),2022.08 套裝 - Ultimate Body Care (C1),H839100101,0,offline,N,N,29-Jul-2022,12-Apr-2024,THANN,THANN,200,130,100,,,AA13205500001,禮盒/旅行套裝,HKD,620.0,399.0,35.64516, , , , , , ,
H8391001,2022AUGVSC2,Y,H8391001_S_2022AUGVSC2,2022.08 Value Set - Ultimate Body Care (C2),2022.08 套裝 - Ultimate Body Care (C2),H839100101,0,offline,N,N,29-Jul-2022,12-Apr-2024,THANN,THANN,200,130,100,,,AA13205500001,禮盒/旅行套裝,HKD,620.0,399.0,35.64516, , , , , , ,
H8391001,2022AUGVSD,Y,H8391001_S_2022AUGVSD,2022.08 Value Set - Face Cleansing Essentials (D),2022.08 套裝 - Face Cleansing Essentials (D),H839100101,0,offline,N,N,29-Jul-2022,12-Apr-2024,THANN,THANN,200,130,100,,,AA13205500001,禮盒/旅行套裝,HKD,680.0,439.0,35.44118, , , , , , ,
H8391001,2022AUGVSE1,Y,H8391001_S_2022AUGVSE1,2022.08 Value Set - Aroma Romance (E1),2022.08 套裝 - Aroma Romance (E1),H839100101,0,offline,N,N,29-Jul-2022,12-Apr-2024,THANN,THANN,200,130,100,,,AA13205500001,禮盒/旅行套裝,HKD,910.0,559.0,38.57143, , , , , , ,
